ID	Box	Pop	Temp	Diet	Phosphorus	GUT	Days_spent	N_clutches	N_clutches_per day	Av_stick_height	Ctmax_time	Ctmax_temp	Cons_animal	Cons_plant	Animal_per_day	Plant_per_day	Ratio_A:P	Total_cons	Cons_rate	Ini_weight	Fin_weight	Growth_rate	Shell_IL	Shell_IAA	Shell_FL	Shell_FAA
225	10	PT	14	P	0	x	60	3	0.05	1.5625	180	35.2	0	540.914541666667	0	9.01524236111111		540.914541666667	9.17	361.97	452.4	1.50716666666667	15.8283333333333	68.0956666666667	17.6913333333333	89.6853333333333
229	10	PT	14	A	3	x	60	6	0.1	0.958333333333333	184	35.8	706.677435897436	0	11.7779572649573	0		706.677435897436	11.98	315.79	620.5	5.0785	14.7706666666667	54.4966666666667	19.6546666666667	99.6516666666667
230	10	PT	14	A	3	x	60	0	0	1.20833333333333	171	34.6	596.695641025641	0	9.94492735042735	0		596.695641025641	10.11	473.42	689.1	3.59466666666667	17.3096666666667	73.8866666666667	20.066	101.530333333333
231	10	PT	14	M	0	x	60	5	0.0833333333333333	1.29166666666667	208	37.9	154.938111111111	534.027055555555	2.58230185185185	8.90045092592592	1 : 3.45	688.965166666666	11.68	344.59	487.8	2.38683333333333	15.5806666666667	67.0413333333333	18.25	92.583
233	10	PT	14	M	3	x	60	3	0.05	0.625	181	35.4	147.832051282051	425.695797720798	2.46386752136752	7.0949299620133	1 : 2.88	573.527849002849	9.72	341.55	565.6	3.73416666666667	15.3626666666667	64.7066666666667	17.3263333333333	80.531
234	10	PT	14	P	0	x	60	4	0.0666666666666667	1.0625	196	36.7	0	562.561666666667	0	9.37602777777778		562.561666666667	9.53	453.11	517.1	1.0665	16.622	82.7066666666667	17.9966666666667	101.511333333333
239	11	PT	14	A	3	x	60	3	0.05	0.916666666666667	181	35.4	355.607435897436	0	5.9267905982906	0		355.607435897436	6.03	407.71	465.8	0.968166666666666	16.269	84.2876666666667	17.7133333333333	88.4333333333333
240	11	PT	14	M	0	x	60	5	0.0833333333333333	1.29166666666667	166	34.2	200.807694444444	431.581847222222	3.34679490740741	7.19303078703704	1 : 2.15	632.389541666666	10.72	224.1	368.5	2.40666666666667	12.9956666666667	45.131	15.632	63.3743333333333
243	11	PT	14	P	0	x	60	2	0.0333333333333333	0.416666666666667	212	38.4	0	449.120291666667	0	7.48533819444444		449.120291666667	7.61	330.5	462.3	2.19666666666667	15.4266666666667	60.7106666666667	17.1266666666667	77.818
244	11	PT	14	P	0	x	60	1	0.0166666666666667	1	155	32.9	0	639.994361111111	0	10.6665726851852		639.994361111111	10.85	599.67	603.6	0.0654999999999992	17.6643333333333	102.574333333333	20.6613333333333	135.568
245	11	PT	14	P	3	x	60	3	0.05	0.979166666666667	186	35.9	0	525.931367521368	0	8.76552279202279		525.931367521368	8.91	451.1	497.2	0.768333333333333	16.0463333333333	77.079	18.0846666666667	93.603
246	11	PT	14	A	0	x	60	4	0.0666666666666667	1.35416666666667	154	32.9	709.445027777778	0	11.8240837962963	0		709.445027777778	12.02	471.87	732.9	4.3505	17.4276666666667	83.1766666666667	20.4936666666667	114.73
250	11	PT	14	M	0	x	60	0	0	0.729166666666667	201	37.5	105.428583333333	329.320291666667	1.75714305555555	5.48867152777777	1 : 3.12	434.748875	7.37	405.69	443.2	0.625166666666667	16.8216666666667	75.8503333333333	17.4473333333333	80.1756666666667
251	11	PT	14	M	3	x	60	6	0.1	0.979166666666667	198	37.2	236.494358974359	593.366695156695	3.94157264957265	9.88944491927825	1 : 2.51	829.861054131054	14.07	314.08	568.7	4.24366666666667	15.4456666666667	63.2276666666667	19.1493333333333	94.5496666666667
253	11	PT	14	P	3	x	57	2	0.0350877192982456	0.541666666666667	157	33.1	0	696.556994301994	0	12.220298145649		696.556994301994	12.44	689.37	851.4	2.84263157894737	19.444	142.669	20.31	141.64
256	12	PT	14	A	0	x	60	3	0.05	1.45833333333333	198	37	612.568527777778	0	10.209475462963	0		612.568527777778	10.38	562.3	742.3	3	17.573	99.327	19.4656666666667	118.153
259	12	PT	14	M	3	x	60	0	0	0.9375	218	38.9	125.806153846154	384.570170940171	2.09676923076923	6.40950284900285	1 : 3.06	510.376324786325	8.65	325.84	372.4	0.776	14.9033333333333	63.4063333333333	16.0576666666667	69.3146666666667
260	12	PT	14	M	3	x	60	2	0.0333333333333333	0.708333333333333	192	36.5	237.795641025641	544.350527065527	3.96326068376069	9.07250878442545	1 : 2.29	782.146168091168	13.26	366.76	454.7	1.46566666666667	15.4356666666667	79.8876666666667	16.619	92.343
263	12	PT	14	P	3	x	60	4	0.0666666666666667	0.5	183	35.6	0	449.270170940171	0	7.48783618233618		449.270170940171	7.61	281.55	421.7	2.33583333333333	15.0676666666667	55.174	17.5233333333333	75.099
265	12	PT	14	A	3	x	60	0	0	1.08333333333333	189	36.2	251.460769230769	0	4.19101282051282	0		251.460769230769	4.26	218.72	307.6	1.48133333333333	12.153	56.095	13.0876666666667	64.288
266	12	PT	14	A	3	x	60	0	0	0.729166666666667	194	36.7	301.184102564103	0	5.01973504273504	0		301.184102564103	5.1	297.19	420.5	2.05516666666667	12.927	63.7723333333333	13.0876666666667	64.288
269	12	PT	14	M	3	x	60	2	0.0333333333333333	0.5	210	38.3	280.878717948718	575.211723646724	4.68131196581197	9.58686206077873	1 : 2.05	856.090441595442	14.51	385.34	610.1	3.746	16.1823333333333	76.439	18.482	97.5673333333333
271	12	PT	14	P	3	x	60	1	0.0166666666666667	0.958333333333333	193	36.7	0	630.056994301994	0	10.5009499050332		630.056994301994	10.68	453.12	572.3	1.98633333333333	16.4176666666667	81.2813333333333	19.4693333333333	108.679666666667
276	13	PT	14	M	0	x	60	7	0.116666666666667	0.25	195	36.8	131.536416666667	298.422208333333	2.19227361111111	4.97370347222222	1 : 2.27	429.958625	7.29	241.58	402.4	2.68033333333333	11.7563333333333	44.81	14.8003333333333	61.2153333333333
277	13	PT	14	M	3	x	60	0	0	0.625	185	35.8	224.354102564103	603.469928774929	3.73923504273505	10.0578321462488	1 : 2.69	827.824031339031	14.03	306.18	450	2.397	13.788	57.8003333333333	16.802	83.797
283	13	PT	14	A	3	x	60	0	0	0.833333333333333	179	35.3	456.411282051282	0	7.6068547008547	0		456.411282051282	7.74	386.76	559.6	2.88066666666667	14.854	74.1943333333333	17.3233333333333	86.2836666666667
285	13	PT	14	M	0	x	60	4	0.0666666666666667	1.25	213	38.6	229.007694444444	437.681847222222	3.81679490740741	7.2946974537037	1 : 1.91	666.689541666666	11.3	171.41	504.9	5.55816666666667	12.321	36.4946666666667	18.426	78.0926666666667
286	13	PT	14	M	0	x	60	1	0.0166666666666667	0.833333333333333	183	35.7	80.0903333333333	268.173166666667	1.33483888888889	4.46955277777778	1 : 3.35	348.2635	5.9	175.5	266	1.50833333333333	11.9816666666667	45.92	13.4736666666667	58.7886666666667
288	13	PT	14	P	0	x	60	0	0	0.8125	171	34.5	0	215.029875	0	3.58383125		215.029875	3.64	181.9	212.6	0.511666666666667	11.5276666666667	46.0843333333333	11.402	44.8906666666667
